Gene
4732440D04Rik
Prex2
Mcm3
Tram2
Gsta3
Rab23
Zap70
Il1r2
Il1rl1
Slc40a1
Sdpr
Nabp1
Hecw2
Plcl1
Cd28
Icos
Nrp2
Adam23
Klf7
Fzd5
Cps1
Ikzf2
Fn1
Pecr
Igfbp5
Slc11a1
Ttll4
Fbxo36
Agap1
Asb1
Bok
Pdcd1
Pam
Bcl2
Serpinb2
Serpinb10
Tmem37
Dbi
Marco
Mcm6
Cxcr4
Cd55
Pigr
Fcmr
Rab7b
Atp2b4
Prelp
Btg2
Klhl12
Phlda3
Lad1
Aspm
Cfh
Rgs2
Rgs1
Ptgs2
Gm10138
Rgl1
Lamc1
Npl
Glul
4930523C07Rik
Fmo1
Sell
Atp1b1
Xcl1
Mpzl1
Creg1
3110045C21Rik
Fcrla
Fcgr2b
Fcgr4
Fcgr3
Apoa2
Gm20045
Tstd1
Slamf1
Cd84
Kcnj10
Ackr1
Gm4955
Ifi204
Mnda
Ifi205
Sccpdh
Cdc42bpa
Itpkb
Lefty1
Cenpf
Atf3
Lamb3
Hsd11b1
G0s2
Cd34
Fam171a1
Optn
Gm13383
Gata3
Vim
St8sia6
Mrc1
Armc3
Hnmt
Il1rn
Nrarp
Npdc1
Fut7
C8g
Fcna
Egfl7
Slc2a6
Rxra
Nup188
Ass1
Lcn2
Eng
Pbx3
Traf1
Dab2ip
Ptgs1
Nr4a2
Ccdc148
Tanc1
Cd302
Mettl8
Nckap1
Itgav
Calcrl
Tfpi
Ctnnd1
Slc43a3
Ptprj
Nr1h3
Acp2
Tspan18
Gm13889
Ldlrad3
Cd44
Cd59a
Meis2
Thbs1
Knstrn
Rad51
Gchfr
Nusap1
Gatm
AA467197
Sema6d
Hdc
Dusp2
Mertk
Ckap2l
Il1a
Il1b
Tgm3
Adam33
Siglec1
Bmp2
Jag1
Rin2
Thbd
Cd93
Srxn1
Id1
Ccm2l
Pofut1
Nol4l
Snta1
Procr
Samhd1
Tgm2
Ppp1r16b
Mafb
Ada
Slpi
Sdc4
Ube2c
Pltp
Cd40
Kcnb1
Ptgis
Cebpb
Atp9a
Tshz2
Pck1
Zbp1
Helz2
Sox18
Otc
Tspan7
Chst7
Rgn
Cfp
Sh2d1a
Ocrl
Cxx1a
Cxx1b
Xlr
Bgn
L1cam
F8
Vsig4
Stard8
Efnb1
Phka1
Gpr174
Gm6377
Armcx1
Tceal1
Mid2
Sat1
Bmx
Pir
Gpm6b
Hey1
Fabp5
Fabp4
Car3
Car2
Gm9733
Sirpb1a
Sirpb1b
Sirpb1c
Gm5150
Cp
Cpa3
Tnfsf10
Pld1
Tnik
Mecom
Ccna2
Spry1
Hspa4l
Slc7a11
Mgst2
Tm4sf1
Tm4sf4
Wwtr1
P2ry14
P2ry12
Il12a
Trim59
Serpini1
Tdo2
Fga
Fgb
Tlr2
Cd1d1
Fcrls
Cd5l
Fcrl1
Pear1
Sh2d2a
Nes
Pmf1
Lmna
Fdps
Fam189b
Efna1
Gm15417
Cks1b
She
Slc39a1
Npr1
S100a16
S100a4
S100a6
S100a8
S100a9
S100a10
Selenbp2
Ecm1
Mtmr11
Fcgr1
Nudt17
Cd160
Hmgcs2
Fam46c
Cd2
Slc22a15
Dennd2c
Olfml3
Slc16a1
Rhoc
Gm5547
Gm42722
Chil3
Cept1
Kcna2
Csf1
Gstm2
Gstm1
S1pr1
Vcam1
Cnn3
F3
Gclm
Enpep
Slc39a8
