gene_id,highly_variable
STX12,True
PPP1R8,False
THEMIS2,False
RPA2,False
SMPDL3B,False
XKR8,False
EYA3,True
PTAFR,False
DNAJC8,False
ATP5IF1,False
AL353622.1,False
AL353622.2,False
SESN2,False
MED18,True
PHACTR4,True
RCC1,False
TRNAU1AP,False
SNHG12,False
TAF12,True
RAB42,False
LINC01715,False
AL360012.1,False
GMEB1,False
YTHDF2,False
EPB41,False
TMEM200B,False
SRSF4,False
MECR,True
PTPRU,False
MATN1-AS1,False
LAPTM5,True
LINC01778,False
SDC3,False
PUM1,False
SNRNP40,True
ZCCHC17,True
FABP3,False
SERINC2,False
TINAGL1,True
PEF1,False
AC114488.3,False
COL16A1,False
ADGRB2,False
SPOCD1,False
AL354919.1,False
AL136115.2,False
PTP4A2,False
KHDRBS1,False
AL445248.1,False
TMEM39B,False
KPNA6,False
TXLNA,False
CCDC28B,False
AL049795.1,False
IQCC,False
TMEM234,False
EIF3I,False
FAM167B,False
LCK,False
HDAC1,False
MARCKSL1,True
TSSK3,False
FAM229A,False
BSDC1,False
ZBTB8B,False
ZBTB8A,False
ZBTB8OS,False
RBBP4,True
SYNC,True
KIAA1522,False
YARS,True
S100PBP,False
FNDC5,False
TMEM54,False
RNF19B,False
AK2,False
AZIN2,False
TRIM62,False
AL662907.3,False
ZNF362,False
AL513327.3,False
PHC2,False
ZSCAN20,False
CSMD2,False
SMIM12,False
GJB3,False
GJA4,False
DLGAP3,False
AC114490.3,False
AC114490.2,False
TMEM35B,False
ZMYM6,False
ZMYM1,False
AL590434.1,False
SFPQ,False
ZMYM4,False
KIAA0319L,True
NCDN,False
AC004865.2,False
TFAP2E,False
PSMB2,False
C1orf216,False
CLSPN,False
AGO4,False
AGO1,True
AL139286.2,False
AGO3,False
TEKT2,False
ADPRHL2,False
COL8A2,False
TRAPPC3,True
MAP7D1,False
THRAP3,False
SH3D21,False
EVA1B,False
AL591845.1,False
STK40,False
LSM10,False
OSCP1,True
MRPS15,True
CSF3R,False
LINC01137,True
ZC3H12A,False
MEAF6,False
SNIP1,True
DNALI1,False
GNL2,False
RSPO1,False
C1orf109,False
CDCA8,False
MANEAL,False
YRDC,False
C1orf122,False
MTF1,False
AL929472.2,False
INPP5B,True
SF3A3,True
FHL3,False
UTP11,False
POU3F1,False
RRAGC,False
AL139260.1,False
MYCBP,False
RHBDL2,False
AKIRIN1,False
NDUFS5,False
MACF1,False
PABPC4,False
HEYL,False
PPIE,True
BMP8B,False
OXCT2,False
AL033527.5,False
TRIT1,False
MYCL,False
MFSD2A,False
