PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
-3.825469,-5.259545,0.1539908,-6.036956,-0.040043563,-6.590442,-2.6731002,-2.9935534,-15.875372,8.059109,-4.7928615,-4.953567,3.4724782,0.77267724,-3.6908467,-0.053430725,2.2547777,4.6380396,-0.44661534,1.1201692,7.6990805,8.847601,-8.967821,17.45711,-5.2128778,1.0396365,-0.1384654,-0.79132104,0.27993083,0.08127961,0.011297404,-0.037899803,-8.833296e-16,4.1458803e-15
1.6350851,2.3174458,-2.1851435,1.7505202,-0.76936346,1.4759539,0.015810585,-1.9256707,2.260717,-9.542106,4.5722027,1.0239905,-15.502084,-7.930785,-11.832754,2.0427165,-19.075712,-0.42082655,4.315609,-6.5384226,15.211368,1.3431599,-6.9507837,-2.6757095,1.0420516,-0.19828792,0.11850249,0.071160614,0.28024656,-0.047608018,0.08433675,0.0028059646,-1.6088713e-14,3.8086934e-16
-4.3547997,-10.967165,58.727184,43.24327,4.3727856,10.685815,-5.628939,-0.019939348,0.9249205,-2.4082158,-5.332535,2.815428,1.6160784,-0.57277274,-0.54003584,-0.344813,0.11191889,-0.044790976,-0.74670213,-0.50282717,-0.41314507,-0.15049757,-0.6803178,-0.21218947,0.05559481,0.1432466,0.0029694089,-0.020716581,-0.026502447,0.019259123,-0.006303614,0.009151492,-9.363585e-15,3.298464e-15
-4.051151,-2.0818102,0.82415277,-1.4559364,-1.2579529,-4.488554,-1.1249547,0.11007932,-3.5515726,3.8473427,6.9467607,-3.421651,0.22861482,4.191933,-6.413952,-4.634878,-6.8279862,0.23650666,25.965366,6.1636863,-11.190034,-11.168774,-0.7993772,2.7233915,-1.294861,1.3150737,-0.22580172,-0.1982432,-0.08075331,0.16758871,-0.32281503,0.039346375,-3.717527e-15,3.2274115e-15
-2.2533226,0.8249118,-0.6757802,1.2986809,-1.8468132,1.3455536,1.0663115,-0.17296164,3.795998,-5.834868,5.900009,-0.2986554,-4.275184,2.2308707,-5.4009724,-3.9160721,-4.600693,-6.6874127,-0.070416026,11.712943,-12.94879,23.284386,1.6449562,-0.97838527,1.3317515,-1.62164,0.042620055,-0.100081705,0.16418505,-0.03864019,-0.075435586,-0.035570603,-4.934461e-15,1.4174343e-15
14.040092,-7.7493615,3.3545969,-24.956932,60.257523,22.279408,3.9843807,-1.6977631,6.0606837,-4.29362,-1.4263859,1.3997158,-0.64917815,0.55650145,-1.1956217,-1.0361778,0.91195273,-1.0684253,-0.40996915,0.8561041,-0.24331523,-0.66545564,-0.454134,-0.34361604,-0.25256783,0.15953247,-0.18492128,-0.07092054,-0.12060978,-0.007411772,-0.005190719,-0.027045129,-2.7195515e-15,3.8006665e-15
-4.6142435,-11.578875,2.1391757,-12.244687,-3.6025941,-36.80346,-10.308443,-27.1572,29.992577,-13.621895,-9.5421095,6.681328,0.89163685,-0.4568125,1.8717766,-0.09328086,0.37751853,-2.170302,-1.0941889,-0.20605032,-0.9554199,-0.8326387,-1.2636114,0.04586147,-0.4599462,0.5044714,-0.17612094,-0.04424803,0.046934616,0.0072219465,0.03653653,-0.012964786,-7.670744e-15,4.324592e-15
-1.3418242,-0.1606477,0.37202212,0.81762934,-1.1087699,2.1251714,3.362086,-3.638284,3.0360515,-4.727334,10.135845,-4.770498,-8.305862,-4.705771,21.282572,-19.720217,3.605311,17.362173,3.0492625,0.72539485,2.6306684,2.2422001,-2.0077536,-0.6217572,0.8994222,-0.44943994,-0.043363016,0.117082134,0.12067326,0.035138156,-0.06246047,0.04721389,-9.317083e-15,1.5897403e-15
5.5170574,-0.06793369,-2.754572,-8.327888,-0.31389016,-4.8966937,-42.4777,42.475147,12.6740265,6.1931314,-2.5084562,-0.3220139,1.947487,-0.68698305,1.4513931,-0.98503524,0.84127754,0.31755832,-1.1599166,0.86267304,0.39606556,-0.17161313,-1.0183537,-0.17311345,-0.14331998,0.07118675,-0.14341307,0.02779285,-0.0753271,-0.08452119,0.05855219,-0.0003648229,-1.835782e-14,1.3409842e-15
-4.1671476,-5.0835314,-0.7259669,-4.523838,-1.0424248,-4.5539103,-2.2897923,-1.3599654,-11.384292,5.4758825,-3.9781244,-3.2423341,1.2324857,1.2141579,-2.5955331,-3.8873913,3.098965,-1.7487658,0.70902616,-4.5841947,1.5989755,0.66224706,1.8514613,-5.4292536,1.9710728,-4.871041,-2.432106,-3.7609668,9.708055,-0.16966215,-2.4824438,0.47362736,-3.905569e-16,3.6195014e-15
0.38752082,1.9256682,-1.9368949,2.9704611,-1.3439572,4.5962625,18.77343,-7.589257,24.497198,43.053177,-4.368937,1.3908169,1.4116577,1.7119795,-0.8837237,0.37285608,-0.27071184,0.40910092,-0.23524927,0.21318036,1.2956605,0.91871333,-1.4391191,-0.92963535,0.14506264,-0.097169794,0.05554558,-0.0031760635,-0.040104236,-0.1396569,0.011130437,-0.024015967,-2.060331e-14,3.3959417e-16
-1.6917243,-1.8406553,-1.6865332,-1.8204803,-0.30110237,-0.46654928,0.19509716,-3.4480238,-7.313745,-2.4477706,-5.81864,0.33784947,0.4402391,0.18384162,-0.2600156,-2.820853,2.5275002,-3.965431,-0.51619834,-3.2438607,-0.6651076,-1.5469059,4.3037415,1.2493331,-0.5021714,-0.45208114,-2.148073,-0.1366247,-1.1612684,1.977979,2.9037454,8.893688,-1.264536e-14,5.2512226e-16
